Lead Number;Name;Lead Origin;Lead Source;Converted;TotalVisits;Total Time Spent on Website;Page Views Per Visit;Country;Specialization;What is your current occupation;City;A free copy of Mastering The Interview
625676;Porishmita Tiwari;Landing Page Submission;Direct Traffic;1;5;1149;5;India;Travel and Tourism;Unemployed;Other Cities;Yes
625651;Chand Babu Seth;Landing Page Submission;Organic Search;0;4;865;4;India;Healthcare Management;;Other Metro Cities;Yes
625602;Karanam Devi;Landing Page Submission;Direct Traffic;0;2;245;2;India;Marketing Management;Unemployed;Other Metro Cities;Yes
625601;Mahaveer Singh Singh;Landing Page Submission;Organic Search;0;2;743;2;India;Media and Advertising;Unemployed;Mumbai;Yes
625600;Charuprabha Rao;Landing Page Submission;Direct Traffic;1;3;1109;3;India;Human Resource Management;Unemployed;Other Cities of Maharashtra;Yes
625590;Laskar Divedi;API;bing;0;1;458;1;India;;;;No
625581;Naimuddin Seth;Landing Page Submission;Direct Traffic;0;3;365;3;India;Finance Management;Unemployed;Mumbai;Yes
625579;Uzair Seth;API;Olark Chat;0;0;0;0;;;;;No
625565;Yawer Srivastav;Landing Page Submission;Google;0;4;99;4;India;Human Resource Management;Unemployed;Mumbai;No
625541;Debananda Rajput;Landing Page Submission;Google;0;4;208;4;India;Marketing Management;;Mumbai;No
625540;Depu Mishra;Landing Page Submission;Organic Search;1;5;1207;5;India;Media and Advertising;Unemployed;Other Metro Cities;Yes
625523;Bharat Lal Rai;Landing Page Submission;Direct Traffic;1;2;1475;2;India;Operations Management;;Other Cities;Yes
625499;Sekhar Yadav;Landing Page Submission;Direct Traffic;1;2;1146;2;India;Marketing Management;Unemployed;Other Metro Cities;Yes
625453;Neer Yadav;Landing Page Submission;Google;0;6;14;3;India;Finance Management;Unemployed;Mumbai;No
625433;Bajarangi Rao;Landing Page Submission;Google;1;4;882;4;India;Hospitality Management;Unemployed;Mumbai;No
625427;Dwipen Divedi;Landing Page Submission;Google;0;4;237;2;India;Media and Advertising;;Mumbai;Yes
625411;Ekavali Divedi;Landing Page Submission;Direct Traffic;0;2;286;2;India;Marketing Management;Unemployed;Mumbai;Yes
625410;Gane Maurya;Landing Page Submission;Google;1;5;1179;5;India;Operations Management;;Other Cities;Yes
625394;Saras Yadav;Landing Page Submission;Direct Traffic;0;3;333;3;India;Marketing Management;Unemployed;Select;No
625380;Satish Yadav Thakur;API;Google;0;1;275;1;India;Select;Unemployed;Select;No
625316;Pateliya Mishra;Landing Page Submission;Organic Search;1;7;1245;7;India;Travel and Tourism;Unemployed;Other Cities;No
625303;Jinesh Maurya;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Mumbai;No
625289;Manak Seth;Landing Page Submission;Google;0;4;345;4;India;IT Projects Management;;Thane & Outskirts;No
625286;Ajy Rai;Landing Page Submission;Google;0;3;254;3;India;E-Business;Unemployed;Other Cities;Yes
625275;Kallesh Pandey;Landing Page Submission;Google;1;7;1274;2.33;India;Marketing Management;Other;Mumbai;No
625253;Shuvendu Singh;Landing Page Submission;Direct Traffic;0;3;280;3;India;IT Projects Management;Unemployed;Mumbai;Yes
625222;Sarth Seth;Landing Page Submission;Google;1;3;1143;3;India;Business Administration;;Mumbai;No
625220;Bhala Gupta;Landing Page Submission;Google;0;6;37;6;India;Operations Management;;Other Cities;No
625188;Md Usman Pandey;API;Organic Search;0;2;33;2;India;;;;No
625185;Puttaraju Rao;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Thane & Outskirts;No
625176;Manu Kumar Mishra;API;Google;0;2;441;2;India;;;;No
625137;Vikashkumar Rajput;Landing Page Submission;Google;0;10;877;3.33;India;Human Resource Management;Unemployed;Other Metro Cities;No
625124;Mamtaj Mishra;API;Olark Chat;0;0;0;0;;;;;No
625120;Aarya Gupta;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Mumbai;No
625063;Tiru Kumari;Landing Page Submission;Direct Traffic;1;3;1266;3;India;Operations Management;Unemployed;Thane & Outskirts;Yes
625058;Kanhaiyalal Sonkar;Landing Page Submission;Google;0;6;162;3;India;Marketing Management;;Other Metro Cities;No
625027;Aagney Gupta;Landing Page Submission;Direct Traffic;1;1;1449;1;India;Finance Management;Unemployed;Thane & Outskirts;No
625012;Kalam Singh;Landing Page Submission;Google;0;3;428;3;India;Human Resource Management;Unemployed;Mumbai;Yes
625011;Aarish Kumari;Landing Page Submission;Google;0;6;179;6;United States;Human Resource Management;;Mumbai;No
625008;Dharmeswar Thakur;Landing Page Submission;Organic Search;1;6;766;2;India;IT Projects Management;Unemployed;Mumbai;No
624995;Jyotiprakash Srivastav;Landing Page Submission;Google;0;3;1963;3;India;Human Resource Management;;Mumbai;No
624983;Alankar Divedi;Landing Page Submission;Google;0;5;157;5;India;Marketing Management;Unemployed;Other Cities of Maharashtra;No
624973;Roki Rai;Landing Page Submission;Direct Traffic;0;3;363;3;India;International Business;Unemployed;Other Metro Cities;Yes
624965;Chote Lal Seth;Landing Page Submission;Google;0;2;203;2;India;Select;Unemployed;Other Cities of Maharashtra;No
624960;Sumit Singh Vishwakarma;Landing Page Submission;Direct Traffic;0;6;587;3;India;Human Resource Management;;Mumbai;Yes
624947;Agam Pratap;Landing Page Submission;Google;0;5;339;2.5;India;Finance Management;;Mumbai;No
624942;Sonpal Rao;Landing Page Submission;Google;1;3;1321;3;India;Marketing Management;;Mumbai;No
624925;Tauhid Sonkar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
624871;Rakshak Pandey;Landing Page Submission;Direct Traffic;1;2;1143;2;India;Rural and Agribusiness;Unemployed;Mumbai;Yes
624860;Harshita Rai;Landing Page Submission;Direct Traffic;0;3;136;1.5;India;Human Resource Management;;Mumbai;Yes
624855;Md Khalid Singh;Landing Page Submission;Direct Traffic;0;9;290;4.5;India;Finance Management;;Mumbai;Yes
624838;Mulchand Rajput;Landing Page Submission;Direct Traffic;0;1;75;1;United States;;;;No
624831;Majhi Maurrya;Landing Page Submission;Organic Search;0;4;793;4;Nigeria;Human Resource Management;Unemployed;Other Cities;Yes
624830;Sahana Seth;Landing Page Submission;Direct Traffic;0;5;362;2.5;India;"Banking; Investment And Insurance";Unemployed;Mumbai;Yes
624817;Bik Sonkar;Landing Page Submission;Direct Traffic;1;2;1166;2;India;IT Projects Management;Unemployed;Thane & Outskirts;No
624815;Ravisankar Kumar;Landing Page Submission;bing;1;3;399;3;India;Media and Advertising;Unemployed;Mumbai;No
624762;Ugrasen Yadav;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
624747;Anki Mishra;Landing Page Submission;Direct Traffic;1;3;711;3;India;Healthcare Management;;Mumbai;Yes
624732;Manglu Rai;Landing Page Submission;Direct Traffic;0;2;129;2;India;Operations Management;Unemployed;Other Cities;Yes
624728;Akhila Kumari;Landing Page Submission;Organic Search;0;3;415;3;India;Travel and Tourism;Unemployed;Mumbai;Yes
624727;Shabuddin Rai;Landing Page Submission;Direct Traffic;1;2;284;2;India;Travel and Tourism;Unemployed;Mumbai;Yes
624716;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;3;994;1.5;India;IT Projects Management;;Other Cities;Yes
624715;Chandrabhanu Divedi;Landing Page Submission;Direct Traffic;1;10;921;10;India;Supply Chain Management;Unemployed;Thane & Outskirts;Yes
624704;Chandraleksha Rai;Landing Page Submission;Google;0;3;253;3;India;Marketing Management;Unemployed;Mumbai;No
624700;Sanjeev Tiwari;Landing Page Submission;Organic Search;1;5;428;5;India;Travel and Tourism;Unemployed;Tier II Cities;No
624682;Mahaboob Sonkar;Landing Page Submission;Google;0;2;135;2;India;Business Administration;;Other Cities;No
624679;Cb Rao;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
624673;Shivm Sonkar;API;Google;0;3;1321;1.5;India;Business Administration;Unemployed;Other Cities of Maharashtra;Yes
624649;Rehbar Yadav;API;Olark Chat;0;0;0;0;;;;;No
624642;Indraj Tiwari;Landing Page Submission;Google;0;1;292;1;India;"Banking; Investment And Insurance";;Mumbai;No
624638;Umakant Srivastav;Landing Page Submission;Direct Traffic;0;3;336;1.5;India;Business Administration;;Mumbai;Yes
624623;Alaka Sonkar;API;Google;1;4;1011;4;India;Human Resource Management;;Mumbai;No
624594;Madhabi Mishra;API;Google;1;2;1214;2;India;;;;No
624586;Abneesh Mishra;Landing Page Submission;Google;0;4;98;4;India;Supply Chain Management;Unemployed;Thane & Outskirts;No
624582;Anilkumar Yadav;Landing Page Submission;Direct Traffic;0;2;1201;2;India;Operations Management;Unemployed;Mumbai;Yes
624575;Pappu Raj Yadav;API;Google;0;2;369;2;India;Select;Unemployed;Select;No
624568;Cp Kumar;API;bing;0;3;358;3;India;;;;No
624563;Jainish Seth;Landing Page Submission;Google;0;7;15;2.33;India;Marketing Management;;Mumbai;No
624546;Baisa Seth;Landing Page Submission;Direct Traffic;0;3;59;3;India;Media and Advertising;;Mumbai;No
624544;Samaun Pratap;API;Organic Search;1;6;1401;2;India;Media and Advertising;Housewife;Mumbai;No
624537;Kaliram Divedi;Landing Page Submission;Direct Traffic;1;4;1099;2;India;Operations Management;Unemployed;Mumbai;Yes
624534;Nanjunda Mishra;Landing Page Submission;Direct Traffic;0;2;408;2;India;Finance Management;Unemployed;Mumbai;Yes
624527;Msd Maurya;Landing Page Submission;Direct Traffic;0;4;477;4;India;Finance Management;;Mumbai;Yes
624520;Indal Tiwari;Landing Page Submission;Google;1;5;1090;5;India;Hospitality Management;;Mumbai;No
624500;Abneesh Mishra;Landing Page Submission;Google;1;4;1055;4;India;Marketing Management;Unemployed;Mumbai;No
624495;Abneesh Mishra;Lead Add Form;Reference;1;0;0;0;;Operations Management;Working Professional;Mumbai;No
624488;Sajin Rao;Landing Page Submission;Organic Search;0;5;1410;5;India;Operations Management;;Other Cities of Maharashtra;Yes
624486;Junad Mishra;API;Google;0;3;116;3;India;;;;No
624449;Seeta Kumar;API;Organic Search;0;2;144;2;India;Select;Unemployed;Select;No
624446;Ajmer Pandit;API;Olark Chat;0;0;0;0;;;;;No
624439;Sabita Maurrya;API;Organic Search;1;3;954;3;India;Finance Management;Unemployed;Mumbai;No
624438;Subol Pandit;Landing Page Submission;Direct Traffic;1;5;745;5;India;Operations Management;Unemployed;Mumbai;Yes
624434;Jay Ram Seth;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Working Professional;Select;No
624431;Rani Singh Pratap;Landing Page Submission;Organic Search;0;4;106;4;India;Travel and Tourism;;Other Cities;Yes
624430;Rajgor Pandit;API;Google;1;2;1395;1;India;Supply Chain Management;Unemployed;Mumbai;No
624426;Shabir Ahmad Srivastav;API;Olark Chat;0;0;0;0;;;;;No
624423;Janti Rajput;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Select;No
624415;Aynal Mishra;Landing Page Submission;Organic Search;0;2;38;1;India;Operations Management;;Thane & Outskirts;No
624397;Babuna Rajput;API;Google;0;2;315;1;India;Select;Unemployed;Select;No
624386;Dayal Devi;Landing Page Submission;Direct Traffic;0;2;1108;2;India;"Banking; Investment And Insurance";;Other Cities;Yes
624363;Jagdhish Yadav;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Select;No
624359;Kalish Singh;Landing Page Submission;Direct Traffic;0;5;73;5;India;Business Administration;;Other Cities of Maharashtra;No
624357;Bideshi Rao;Landing Page Submission;Google;0;3;383;3;India;Business Administration;Unemployed;Mumbai;No
624356;Vedparkash Seth;Landing Page Submission;Organic Search;0;4;310;4;India;Human Resource Management;;Mumbai;Yes
624353;Faalgun Pratap;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Select;No
624348;Praveena Mishra;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
624347;Bhuma Tiwari;Landing Page Submission;Google;1;9;1402;3;Singapore;International Business;;Other Cities of Maharashtra;Yes
624344;Muno Singh;API;Google;0;3;793;3;India;Select;Unemployed;Select;No
624343;Gyan Singh Vishwakarma;Landing Page Submission;Google;1;5;2037;2.5;India;Finance Management;Unemployed;Thane & Outskirts;No
624337;Pandat Yadav;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
624326;Gulfam Sonkar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
624325;Upadhyay Rai;API;Olark Chat;0;0;0;0;;;;;No
624319;Bhura Seth;API;Google;0;2;631;2;India;;;;No
624317;Pinto Kumari;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
624314;Swain Rao;Landing Page Submission;Google;0;4;178;4;India;Operations Management;Unemployed;Mumbai;No
624295;Deepk Kumari;API;Organic Search;0;4;417;4;India;Select;Unemployed;Select;No
624289;Bheema Mishra;Landing Page Submission;Google;0;5;62;5;India;Operations Management;;Mumbai;No
624284;Munazir Thakur;API;bing;0;2;88;1;India;Select;Unemployed;Select;No
624273;Jayu Pandit;Landing Page Submission;Direct Traffic;0;5;290;1.67;India;Marketing Management;;Other Cities;Yes
624266;Alaka Mishra;API;Olark Chat;0;0;0;0;;;;;No
624227;Anaya Divedi;API;Google;1;2;806;2;India;Finance Management;Unemployed;Mumbai;No
624208;Arvind Singh Sonkar;Landing Page Submission;Google;0;5;239;5;India;Operations Management;Unemployed;Other Cities of Maharashtra;No
624199;Mulla Gupta;API;Google;0;1;316;1;India;;;;No
624197;Rits Singh;Landing Page Submission;Organic Search;0;5;82;5;India;International Business;Unemployed;Other Cities of Maharashtra;Yes
624189;Hanumanta Divedi;Landing Page Submission;Google;0;8;138;4;India;;;Thane & Outskirts;No
624187;Vihar Srivastav;Landing Page Submission;Organic Search;0;3;277;3;India;Travel and Tourism;Unemployed;Mumbai;Yes
624182;Abneesh Mishra;Landing Page Submission;Google;1;3;234;3;India;E-Business;Unemployed;Mumbai;No
624169;Bhavarlal Rao;Landing Page Submission;Google;1;2;1609;2;India;Business Administration;Unemployed;Mumbai;No
624147;Santanika Singh;Landing Page Submission;Google;1;3;963;3;India;Supply Chain Management;Unemployed;Mumbai;No
624136;Rajendera Rai;API;Olark Chat;0;0;0;0;;;;;No
624135;Md Jabir Divedi;Lead Add Form;Reference;1;0;0;0;;Human Resource Management;Working Professional;Select;No
624122;Muruli Seth;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Student;Mumbai;No
624114;Seenivasan Vishwakarma;Landing Page Submission;Direct Traffic;1;4;1019;4;India;E-COMMERCE;Unemployed;Mumbai;Yes
624096;Ruchi Rai;Landing Page Submission;Organic Search;0;3;694;3;India;Travel and Tourism;Unemployed;Other Cities;Yes
624095;Chiranjit Mishra;Landing Page Submission;Direct Traffic;1;3;131;3;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
624090;Sanuwar Rajput;Landing Page Submission;Google;0;4;103;4;India;Travel and Tourism;;Mumbai;No
624084;Prem Raj Rajput;Landing Page Submission;Organic Search;0;3;113;3;India;Healthcare Management;;Other Cities;Yes
624080;Jothi Thakur;API;Olark Chat;0;0;0;0;;;;;No
624070;Kousar Kumari;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
624042;Souradeep Seth;Landing Page Submission;Google;1;3;1742;3;;Operations Management;Working Professional;Other Cities of Maharashtra;No
623975;Sofiur Devi;Landing Page Submission;Direct Traffic;0;7;5;7;India;"Banking; Investment And Insurance";Unemployed;Mumbai;Yes
623966;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;2;269;2;India;Healthcare Management;;Mumbai;Yes
623955;Nandu Kumar Yadav;Landing Page Submission;Direct Traffic;0;2;35;2;India;Human Resource Management;;Other Cities;Yes
623948;Bhikan Yadav;Landing Page Submission;Google;1;5;418;2.5;India;Marketing Management;Unemployed;Select;No
623943;Dibya Ranjan Rao;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
623936;Kishankumar Rajput;Landing Page Submission;Direct Traffic;0;1;1112;1;India;Human Resource Management;Unemployed;Mumbai;Yes
623925;Sruthi Maurya;Landing Page Submission;Direct Traffic;1;4;1040;4;India;International Business;Unemployed;Other Cities of Maharashtra;Yes
623915;Ramarao Pandey;Landing Page Submission;Direct Traffic;1;7;1003;2.33;India;Marketing Management;Unemployed;Other Cities;Yes
623906;Deeba Rajput;Landing Page Submission;Organic Search;0;3;48;3;India;Finance Management;;Mumbai;No
623879;Sethupathi Rai;Landing Page Submission;Direct Traffic;0;2;182;2;India;Finance Management;Unemployed;Thane & Outskirts;Yes
623851;Kaml Sonkar;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
623832;Lalsinh Mishra;Landing Page Submission;Organic Search;0;3;166;3;India;Supply Chain Management;Unemployed;Other Metro Cities;Yes
623831;Giasuddin Kumari;Landing Page Submission;Direct Traffic;0;9;404;3;India;E-COMMERCE;Unemployed;Other Cities;No
623822;Vimalkumar Divedi;Landing Page Submission;Google;0;3;311;3;India;"Banking; Investment And Insurance";;Mumbai;No
623814;Amrapali Vishwakarma;Landing Page Submission;Organic Search;0;6;368;6;India;Human Resource Management;;Other Metro Cities;Yes
623794;Tanbir Vishwakarma;Landing Page Submission;Direct Traffic;1;2;1552;2;India;Supply Chain Management;Working Professional;Mumbai;No
623790;Ruhani Tiwari;API;Olark Chat;0;0;0;0;;;;;No
623781;Goldi Tiwari;Landing Page Submission;Direct Traffic;0;2;1343;2;India;Finance Management;;Mumbai;Yes
623780;Pavan Singh Vishwakarma;API;Olark Chat;1;3;62;3;India;"Banking; Investment And Insurance";Unemployed;Mumbai;No
623770;Monisa Kumar;Landing Page Submission;Direct Traffic;1;10;151;3.33;India;Operations Management;Unemployed;Mumbai;Yes
623768;Meher Maurya;Landing Page Submission;Google;0;4;245;4;India;Finance Management;Working Professional;Thane & Outskirts;No
623749;Parekh Rao;API;Olark Chat;0;1;284;1;;;;;No
623733;Bahuleya Singh;Landing Page Submission;Organic Search;0;5;227;5;Qatar;Operations Management;Unemployed;Other Metro Cities;Yes
623730;Romita Tiwari;Landing Page Submission;Direct Traffic;0;4;266;4;India;Supply Chain Management;;Other Metro Cities;Yes
623727;Yaswanth Rajput;Landing Page Submission;Google;0;3;320;3;India;Marketing Management;;Mumbai;No
623715;Likun Rao;Landing Page Submission;Direct Traffic;0;3;176;3;India;Human Resource Management;Unemployed;Mumbai;Yes
623713;Dayal Vishwakarma;Landing Page Submission;Google;0;4;374;4;India;IT Projects Management;Unemployed;Mumbai;No
623687;Ishwar Singh Yadav;Landing Page Submission;Google;0;6;1236;6;India;International Business;Unemployed;Mumbai;Yes
623664;Mahipat Gupta;Landing Page Submission;Google;0;4;76;4;India;Marketing Management;;Mumbai;No
623651;Aravinda Rai;Landing Page Submission;Direct Traffic;1;3;1146;3;India;E-COMMERCE;;Mumbai;Yes
623647;Ahshan Srivastav;Landing Page Submission;Google;1;3;262;3;India;Marketing Management;Unemployed;Mumbai;No
623627;Ranjani Divedi;Landing Page Submission;Organic Search;0;2;250;2;India;International Business;Unemployed;Other Cities;Yes
623622;Vadla Pandit;API;Google;1;6;596;2;India;Select;Unemployed;Select;No
623604;Subhasish Mishra;API;Olark Chat;0;0;0;0;;;;;No
623572;Mogli Seth;API;Google;0;2;1252;2;India;Select;Unemployed;Select;No
623554;Bhom Singh Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
623553;Mahadeva Pratap;API;Google;1;2;795;1;India;;;;No
623551;Nusrath Divedi;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
623549;Ram Bhai Srivastav;Landing Page Submission;Direct Traffic;0;3;151;1.5;India;Marketing Management;;Other Metro Cities;Yes
623548;Sugna Rao;API;Google;1;2;1450;2;India;Marketing Management;Unemployed;Thane & Outskirts;No
623537;Jashoda Rajput;Landing Page Submission;Direct Traffic;1;3;187;3;Oman;"Banking; Investment And Insurance";;Other Metro Cities;Yes
623507;Rudraksh Yadav;Landing Page Submission;Direct Traffic;0;2;848;2;India;Supply Chain Management;Unemployed;Mumbai;Yes
623498;Sulthan Tiwari;API;Olark Chat;0;0;0;0;;;;;No
623497;Mijing Srivastav;Landing Page Submission;Google;1;3;1353;3;India;Finance Management;Unemployed;Mumbai;No
623494;Khagendra Vishwakarma;Landing Page Submission;Organic Search;0;2;297;2;India;Human Resource Management;Unemployed;Other Cities of Maharashtra;Yes
623484;Moji Yadav;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
623471;Athing Thakur;Landing Page Submission;Direct Traffic;1;4;949;2;India;Finance Management;Working Professional;Mumbai;Yes
623467;Tulu Mishra;API;Google;0;2;138;1;India;Select;Unemployed;Select;No
623457;Somdatt Rao;Landing Page Submission;Direct Traffic;0;3;138;3;India;Operations Management;;Other Cities of Maharashtra;Yes
623455;Patiram Thakur;Landing Page Submission;Direct Traffic;1;3;1049;3;Oman;Supply Chain Management;Unemployed;Other Cities;Yes
623429;Naira Yadav;API;Organic Search;0;4;23;2;India;Select;Unemployed;Select;No
623427;Atanu Pandey;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
623426;Dilesh Kumar;Landing Page Submission;Google;0;3;366;3;India;Human Resource Management;;Mumbai;No
623420;Ramudgar Divedi;Landing Page Submission;Direct Traffic;1;3;139;3;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;Yes
623408;Rishik Sonkar;Lead Add Form;Reference;0;0;0;0;;Finance Management;Unemployed;Mumbai;No
623400;Fathima Singh;Landing Page Submission;Google;0;4;1623;4;India;Finance Management;;Mumbai;No
623398;Amam Gupta;Landing Page Submission;Direct Traffic;1;2;1271;2;India;Operations Management;Unemployed;Thane & Outskirts;No
623383;Smarty Maurrya;Landing Page Submission;Direct Traffic;0;15;415;7.5;India;Travel and Tourism;;Mumbai;Yes
623382;Muralidharan Tiwari;Landing Page Submission;Direct Traffic;1;5;185;2.5;India;Finance Management;Working Professional;Mumbai;Yes
623381;Ashit Pandit;Landing Page Submission;Organic Search;0;8;164;8;India;Retail Management;;Other Cities;Yes
623380;Shafikul Sonkar;API;Olark Chat;0;0;0;0;;;;;No
623373;Md Ibrahim Maurrya;Landing Page Submission;Google;0;2;451;2;India;Marketing Management;Unemployed;Mumbai;No
623366;Haidar Rajput;Landing Page Submission;Direct Traffic;0;4;298;4;;IT Projects Management;Unemployed;Mumbai;Yes
623355;Sonu Divedi;Landing Page Submission;Organic Search;0;9;1211;3;India;Healthcare Management;;Other Cities;Yes
623349;Promila Sonkar;Landing Page Submission;Google;1;6;320;3;India;Human Resource Management;;Mumbai;No
623340;Asish Vishwakarma;API;Google;1;4;1014;2;India;Human Resource Management;Working Professional;Select;No
623332;Pubg Rao;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
623297;Lohar Pandit;API;Google;1;2;1277;2;India;;;;No
